date,mean autumn hypolimnetic oxygen concentration
1972,2.76
1974,2.87
1975,2.31
1976,1.07
1977,2.56
1978,1.76
1979,1.48
1980,2.37
1981,1.35
1982,1.48
1983,1.19
1984,1.86
1985,1.09
1986,0.88
1987,2.67
1988,1.85
1989,1.03
1990,1.0
1991,1.18
1992,1.63
1993,2.89
1994,1.78
1995,3.81
1996,2.4
1997,1.33
1998,2.01
1999,3.21
2000,2.69
2001,3.45
2002,2.15
2003,1.41
2004,2.14
2005,3.4
2006,2.54
2007,1.81
2008,2.95
2009,2.33
2010,3.52
2011,2.38
2012,2.31
2013,2.67
2014,2.09
2015,1.88
2016,2.14
2017,1.73
2018,1.65
2019,1.62
2020,2.52
2021,2.63
2022,1.86
2023,2.31
