date,mean autumn surface temperature
1972,12.21
1974,11.16
1975,13.61
1976,13.92
1977,14.17
1978,12.69
1979,13.44
1980,14.57
1981,13.05
1982,14.4
1983,14.4
1984,12.74
1985,15.97
1986,14.88
1987,14.37
1988,14.33
1989,12.76
1990,13.81
1991,14.06
1992,13.96
1993,12.22
1994,14.87
1995,12.99
1996,12.72
1997,14.46
1998,12.73
1999,14.2
2000,14.37
2001,13.13
2002,12.79
2003,13.56
2004,14.37
2005,13.66
2006,14.15
2007,13.74
2008,13.8
2009,14.16
2010,12.7
2011,14.4
2012,13.73
2013,14.55
2014,13.9
2015,14.54
2016,15.54
2017,13.69
2018,15.09
2019,15.09
2020,13.89
2021,14.46
2022,15.71
2023,14.66
