date,mean early autumn bottom oxygen concentration
1972,2.39
1973,0.15
1974,0.52
1975,1.98
1976,0.67
1977,0.74
1978,0.83
1979,0.5
1980,0.48
1981,0.23
1982,0.29
1983,0.35
1984,0.5
1985,0.5
1986,0.43
1987,0.2
1988,0.21
1989,0.2
1990,0.29
1991,0.59
1992,1.45
1993,0.4
1994,0.54
1995,1.89
1996,1.98
1997,0.26
1998,0.79
1999,1.01
2000,0.83
2001,1.37
2002,0.74
2003,0.4
2004,1.12
2005,2.17
2006,1.65
2007,1.05
2008,2.13
2009,1.26
2010,1.31
2011,3.04
2012,1.18
2013,3.01
2014,0.85
2015,0.73
2016,0.32
2017,0.5
2018,0.72
2019,0.98
2020,1.57
2021,2.17
2022,0.69
2023,1.7
