date,mean early autumn hypolimnetic oxygen content
1972,219.3
1973,163.97
1974,236.79
1975,352.08
1976,133.78
1977,189.24
1978,216.85
1979,161.06
1980,227.94
1981,161.99
1982,189.5
1983,146.15
1984,222.7
1985,155.98
1986,175.27
1987,258.34
1988,150.33
1989,127.15
1990,120.41
1991,202.05
1992,176.54
1993,185.46
1994,180.77
1995,310.24
1996,276.52
1997,170.37
1998,163.33
1999,286.55
2000,239.6
2001,310.25
2002,164.89
2003,172.46
2004,255.72
2005,314.37
2006,253.8
2007,206.28
2008,284.39
2009,228.06
2010,332.19
2011,250.55
2012,246.47
2013,287.59
2014,232.51
2015,218.21
2016,219.18
2017,178.33
2018,192.59
2019,189.66
2020,268.16
2021,293.24
2022,193.51
2023,248.42
