date,mean early autumn Schmidt stability
1972,553.93
1973,742.81
1974,653.45
1975,555.08
1976,663.02
1977,580.8
1978,437.95
1979,752.9
1980,644.84
1981,620.48
1982,711.1
1983,796.19
1984,752.76
1985,768.58
1986,658.71
1987,589.15
1988,647.93
1989,579.16
1990,849.07
1991,931.94
1992,700.02
1993,579.57
1994,792.18
1995,438.96
1996,628.98
1997,787.3
1998,570.82
1999,749.4
2000,663.79
2001,691.01
2002,632.79
2003,1074.56
2004,864.36
2005,580.82
2006,613.63
2007,708.01
2008,757.56
2009,795.4
2010,516.56
2011,960.49
2012,781.66
2013,831.8
2014,626.59
2015,927.55
2016,1009.82
2017,765.41
2018,993.77
2019,869.4
2020,726.78
2021,695.41
2022,1072.24
2023,726.72
