date,mean spring bottom oxygen concentration
1972,10.29
1973,10.78
1974,8.02
1975,10.93
1976,7.12
1977,9.57
1978,10.01
1979,10.1
1980,8.13
1981,9.62
1982,10.86
1983,10.04
1984,9.49
1985,10.98
1986,10.41
1987,10.82
1988,9.55
1989,8.54
1990,8.63
1991,7.94
1992,9.81
1993,9.51
1994,9.71
1995,10.47
1996,9.74
1997,9.82
1998,8.67
1999,9.78
2000,9.83
2001,9.68
2002,9.74
2003,11.55
2004,9.79
2005,9.29
2006,10.59
2007,8.13
2008,9.49
2009,9.39
2010,9.21
2011,6.65
2012,9.98
2014,8.99
2015,9.69
2016,9.04
2017,9.54
2018,9.79
2019,9.43
2020,9.53
2021,9.64
2022,9.72
2023,9.52
