date,mean spring epilimnion 5-10 m oxygen concentration
1972,11.43
1973,11.53
1974,11.62
1975,12.31
1976,13.0
1977,12.16
1978,11.98
1979,11.48
1980,12.53
1981,12.27
1982,13.64
1983,11.81
1984,12.51
1985,11.78
1986,11.85
1987,11.75
1988,11.5
1989,11.58
1990,12.01
1991,11.8
1992,11.35
1993,11.63
1994,11.41
1995,11.26
1996,11.77
1997,11.33
1998,11.38
1999,11.76
2000,11.38
2001,11.53
2002,11.51
2003,12.75
2004,12.32
2005,11.64
2006,12.51
2007,12.14
2008,11.11
2009,11.95
2010,12.11
2011,12.8
2012,11.9
2013,11.79
2014,11.54
2015,11.69
2016,11.69
2017,11.5
2018,11.79
2019,12.17
2020,11.89
2021,12.38
2022,11.95
2023,11.0
