date,mean spring surface oxygen concentration
1972,13.2
1973,11.74
1974,13.91
1975,12.6
1976,15.39
1977,12.56
1978,12.77
1979,11.79
1980,13.09
1981,14.4
1982,13.45
1983,13.17
1984,12.38
1985,12.23
1986,12.29
1987,11.94
1988,12.32
1989,12.67
1990,12.69
1991,12.23
1992,11.76
1993,11.67
1994,11.47
1995,11.82
1996,11.91
1997,11.36
1998,11.58
1999,12.12
2000,11.41
2001,11.62
2002,11.28
2003,12.4
2004,12.13
2005,11.5
2006,12.28
2007,10.99
2008,11.4
2009,11.83
2010,11.82
2011,11.48
2012,11.76
2013,11.94
2014,11.64
2015,12.0
2016,11.74
2017,11.44
2018,11.41
2019,12.42
2020,11.19
2021,12.4
2022,11.79
2023,11.18
