"sampling_date","min_depth","Temp","Cond","O2"
1957-05-31,"0",12.9,NA,10.68
1957-05-31,"5",10.9,NA,10.97
1957-05-31,"10",10.1,NA,11.07
1957-05-31,"20",7.1,NA,10.73
1957-05-31,"30",6.3,NA,10.29
1957-05-31,"40",5.8,NA,9.99
1957-05-31,"50",5.6,NA,10.04
1957-05-31,"100",4.9,NA,10.19
1957-05-31,"150",4.9,NA,9.89
1957-05-31,"200",4.8,NA,9.5
1957-05-31,"250",4.7,NA,9.11
1957-05-31,"300",4.6,NA,11.17
1957-06-19,"0",19.2,NA,10.7
1957-06-19,"5",14.4,NA,11.7
1957-06-19,"10",13.2,NA,10.9
1957-06-19,"20",11.3,NA,10.5
1957-06-19,"30",7.1,NA,10.05
1957-06-19,"40",5.9,NA,10.15
1957-06-19,"50",5.4,NA,10.25
1957-06-19,"100",5.1,NA,10.35
1957-06-19,"150",4.9,NA,10.15
1957-06-19,"200",4.8,NA,9.9
1957-06-19,"250",4.8,NA,9.55
1957-06-19,"300",4.8,NA,8.66
1957-07-23,"0",18.7,NA,10.21
1957-07-23,"5",18.4,NA,10.04
1957-07-23,"10",18,NA,9.91
1957-07-23,"20",11.1,NA,9.74
1957-07-23,"30",8.6,NA,9.19
1957-07-23,"40",6.5,NA,9.55
1957-07-23,"50",5.8,NA,9.8
1957-07-23,"100",5.1,NA,10.26
1957-07-23,"150",5.1,NA,10.3
1957-07-23,"200",4.9,NA,10.06
1957-07-23,"250",4.9,NA,9.53
1957-07-23,"300",4.7,NA,7.62
1957-09-19,"0",18.1,NA,8.33
1957-09-19,"5",16.9,NA,8.28
1957-09-19,"10",16.4,NA,7.82
1957-09-19,"20",14.4,NA,7.82
1957-09-19,"30",9.1,NA,6.86
1957-09-19,"40",7.6,NA,6.86
1957-09-19,"50",6.7,NA,7.16
1957-09-19,"100",5.3,NA,8.13
1957-09-19,"150",5,NA,7.82
1957-09-19,"200",4.8,NA,7.72
1957-09-19,"250",4.8,NA,7.52
1957-09-19,"300",4.7,NA,7.52
1957-11-21,"0",9.5,NA,9.65
1957-11-21,"5",9.4,NA,9.5
1957-11-21,"10",8.9,NA,7.45
1957-11-21,"20",7.3,NA,7.9
1957-11-21,"30",6.2,NA,8.5
1957-11-21,"40",5.9,NA,8.8
1957-11-21,"50",5.6,NA,9.1
1957-11-21,"100",5.2,NA,9.6
1957-11-21,"150",5,NA,9.75
1957-11-21,"200",4.9,NA,9.2
1957-11-21,"250",4.8,NA,8.6
1957-11-21,"300",4.8,NA,5.35
1958-03-19,"0",5.5,NA,11.25
1958-03-19,"5",5.3,NA,11.25
1958-03-19,"10",5.3,NA,11.25
1958-03-19,"20",5.3,NA,11.2
1958-03-19,"30",5.3,NA,10.85
