model,horizon,rmse_do
Persistence,1,0.16261
Persistence,2,0.24381
Persistence,3,0.28587
Persistence,4,0.30993
Persistence,5,0.32092
Persistence,6,0.32487
Persistence,7,0.33327
Persistence,8,0.35256
Persistence,9,0.37379
Persistence,10,0.38996
Persistence,11,0.40311
Persistence,12,0.41129
Persistence,13,0.41384
Persistence,14,0.41906
Climatology,1,0.33445
Climatology,2,0.33387
Climatology,3,0.33319
Climatology,4,0.33222
Climatology,5,0.33083
Climatology,6,0.32995
Climatology,7,0.32977
Climatology,8,0.33001
Climatology,9,0.33018
Climatology,10,0.33045
Climatology,11,0.33116
Climatology,12,0.3318
Climatology,13,0.33211
Climatology,14,0.33224
AR(21),1,0.14741
AR(21),2,0.22398
AR(21),3,0.25966
AR(21),4,0.28166
AR(21),5,0.29697
AR(21),6,0.30962
AR(21),7,0.32178
AR(21),8,0.33793
AR(21),9,0.35478
AR(21),10,0.36844
AR(21),11,0.38049
AR(21),12,0.39109
AR(21),13,0.3999
AR(21),14,0.40884
VAR(7),1,0.1388
VAR(7),2,0.21084
VAR(7),3,0.24514
VAR(7),4,0.26695
VAR(7),5,0.28226
VAR(7),6,0.29347
VAR(7),7,0.30332
VAR(7),8,0.31543
VAR(7),9,0.32883
VAR(7),10,0.34135
VAR(7),11,0.35229
VAR(7),12,0.36179
VAR(7),13,0.37029
VAR(7),14,0.37818
