gauge_id,strategy,n_windows,rmse_do,rmse_temp,nse_do,kge_do
2009,transfer_normed,1397.0,0.327,1.1209,0.667,0.854
2016,transfer_normed,1377.0,0.722,2.1526,0.779,0.855
2018,transfer_normed,851.0,0.4986,2.3853,0.851,0.874
2044,transfer_normed,1278.0,0.6103,2.681,0.816,0.837
2085,transfer_normed,1394.0,0.4947,2.0673,0.851,0.839
2143,transfer_normed,1412.0,0.6214,2.5609,0.857,0.921
2174,transfer_normed,1203.0,0.5026,2.5992,0.794,0.842
2410,transfer_normed,1392.0,0.5369,0.9472,0.145,0.644
2415,transfer_normed,1374.0,0.5234,2.7333,0.843,0.792
2462,transfer_normed,1427.0,0.4334,1.4388,0.728,0.912
2473,transfer_normed,1348.0,0.3422,1.4217,0.858,0.93
2613,transfer_normed,1427.0,0.6226,2.015,0.859,0.927
2009,per_gauge,1397.0,0.2539,0.8677,0.796,0.865
2016,per_gauge,1377.0,0.5237,1.3911,0.883,0.893
2044,per_gauge,1278.0,0.4997,2.003,0.878,0.925
2085,per_gauge,1394.0,0.381,1.3895,0.911,0.878
2143,per_gauge,1412.0,0.4429,1.4907,0.928,0.916
2174,per_gauge,1203.0,0.3918,1.9772,0.874,0.878
2410,per_gauge,1392.0,0.4149,0.8409,0.49,0.647
2415,per_gauge,1374.0,0.3981,1.7004,0.91,0.92
2462,per_gauge,1427.0,0.2685,1.0496,0.893,0.846
2473,per_gauge,1348.0,0.2958,1.2642,0.894,0.913
2613,per_gauge,1427.0,0.4382,1.391,0.931,0.92
2009,ea_lstm,,0.2433122843503952,,0.8193685859441757,
2016,ea_lstm,,0.5275551676750183,,0.8887216672301292,
2018,ea_lstm,,0.34849247336387634,,0.9296118542551994,
2044,ea_lstm,,0.6236081123352051,,0.8143830448389053,
2085,ea_lstm,,0.37832754850387573,,0.9139321967959404,
2143,ea_lstm,,0.458337664604187,,0.9270801916718483,
2174,ea_lstm,,0.3847755491733551,,0.8823983371257782,
2410,ea_lstm,,0.4095233082771301,,0.5044981241226196,
2415,ea_lstm,,0.3751359283924103,,0.9239380657672882,
2462,ea_lstm,,0.2569160461425781,,0.9058782011270523,
2473,ea_lstm,,0.2982235848903656,,0.8964294418692589,
2613,ea_lstm,,0.46471866965293884,,0.9252908378839493,
