gauge_id,season,mean_do,rmse,nse,n_windows,rmse_day1,rmse_day14
2473,DJF,12.498953819274902,0.32479575276374817,0.10569345951080322,327.0,0.15092721581459045,0.39134037494659424
2473,MAM,11.504846572875977,0.3348238170146942,0.5154751837253571,336.0,0.16829925775527954,0.41291171312332153
2473,JJA,10.279114723205566,0.2507334053516388,0.6553935408592224,339.0,0.14042319357395172,0.2851133942604065
2473,SON,11.273633003234863,0.29967451095581055,0.7927998453378677,346.0,0.1331322342157364,0.3728007674217224
2009,JJA,10.90845405095906,0.2809,0.752,,,
2016,JJA,8.913419531487678,0.589,0.851,,,
2018,JJA,8.948107569721115,0.4052,0.901,,,
2044,JJA,9.186074632221025,0.5011,0.877,,,
2085,JJA,9.30994273815721,0.4105,0.896,,,
2143,JJA,9.67361633372503,0.4504,0.925,,,
2174,JJA,9.610248897290486,0.3798,0.883,,,
2410,JJA,9.664994346023368,0.4529,0.391,,,
2415,JJA,8.761162955107812,0.4115,0.905,,,
2462,JJA,9.58485815602837,0.355,0.813,,,
2613,JJA,9.038366294067067,0.5114,0.904,,,
