gauge_id,model,rmse_temp,nse_temp
2009,base,0.9215,0.818
2009,ec,0.8535,0.844
2016,base,1.4181,0.94
2016,ec,1.4742,0.936
2018,base,1.7895,0.909
2018,ec,1.8042,0.908
2044,base,2.3814,0.843
2044,ec,2.1825,0.868
2085,base,1.5209,0.918
2085,ec,1.414,0.929
2143,base,1.4912,0.946
2143,ec,1.5441,0.942
2174,base,2.1713,0.84
2174,ec,1.8925,0.879
2179,base,1.9187,0.89
2179,ec,1.8783,0.895
2290,base,0.368,0.709
2290,ec,0.3663,0.712
2410,base,0.8758,0.825
2410,ec,0.8707,0.827
2415,base,1.7741,0.9
2415,ec,1.7753,0.9
2462,base,1.0754,0.899
2462,ec,0.9894,0.915
2467,base,1.0231,0.957
2467,ec,1.2412,0.936
2613,base,1.5855,0.934
2613,ec,1.5056,0.94
